n,bin_idx,K_lo,K_hi,K_1,K_2,h,q_num,q_den,q_float
6,1,1000000,10000000,1378956,9353680,2,-7,1,-7.0
6,1,1000000,10000000,6462195,9825184,2,-95,1,-95.0
6,1,1000000,10000000,5463366,9958994,2,-23,1,-23.0
6,1,1000000,10000000,2281199,2449645,2,-31,1,-31.0
6,1,1000000,10000000,2755420,9387110,2,-15,1,-15.0
6,1,1000000,10000000,5749463,7372896,2,-95,1,-95.0
6,1,1000000,10000000,1743711,5093261,2,-5,1,-5.0
6,1,1000000,10000000,1033087,6903305,2,-31,1,-31.0
6,1,1000000,10000000,1718081,9467205,2,-31,1,-31.0
6,1,1000000,10000000,5262442,8183673,3,18,1,18.0
6,1,1000000,10000000,1645627,2532131,2,-95,1,-95.0
6,1,1000000,10000000,2415550,6507497,2,-143,1,-143.0
6,1,1000000,10000000,1955647,8515846,2,-63,1,-63.0
6,1,1000000,10000000,2390523,4288320,2,-31,1,-31.0
6,1,1000000,10000000,6630217,9070602,2,-63,1,-63.0
6,1,1000000,10000000,5842578,5976335,2,-31,1,-31.0
6,1,1000000,10000000,6442700,9648295,2,-3,1,-3.0
6,1,1000000,10000000,3736310,3922904,2,-5,1,-5.0
6,1,1000000,10000000,3504770,4546874,2,-191,1,-191.0
6,1,1000000,10000000,2758017,7519779,2,-31,1,-31.0
6,1,1000000,10000000,3470220,4985999,2,-15,1,-15.0
6,1,1000000,10000000,2368386,8664909,2,-31,1,-31.0
6,1,1000000,10000000,6809880,9638667,2,-55,1,-55.0
6,1,1000000,10000000,1162574,9097992,2,-383,1,-383.0
6,1,1000000,10000000,5384475,5668307,2,-9,1,-9.0
6,1,1000000,10000000,1354989,5886288,3,-4,1,-4.0
6,1,1000000,10000000,2120932,6519373,3,-4,1,-4.0
6,1,1000000,10000000,3127760,8266290,2,-15,1,-15.0
6,1,1000000,10000000,7864441,8765674,2,-63,1,-63.0
6,1,1000000,10000000,4254572,9555521,2,-31,1,-31.0
6,1,1000000,10000000,1778299,5518888,3,-4,1,-4.0
6,1,1000000,10000000,2134387,3666217,2,-55,1,-55.0
6,1,1000000,10000000,3964746,4277729,2,-31,1,-31.0
6,1,1000000,10000000,1061721,4977327,2,-127,1,-127.0
6,1,1000000,10000000,3930774,6952793,5,-449,1,-449.0
6,1,1000000,10000000,4627467,5055068,4,-59989,1,-59989.0
6,1,1000000,10000000,9401430,9662385,2,-7,1,-7.0
6,1,1000000,10000000,1994757,5714955,2,-11,1,-11.0
6,1,1000000,10000000,3535924,4196106,2,-11,1,-11.0
6,1,1000000,10000000,1948874,5652855,2,-383,1,-383.0
6,1,1000000,10000000,3540742,6956425,2,-15,1,-15.0
6,1,1000000,10000000,2570227,3999683,4,51,1,51.0
6,1,1000000,10000000,1956602,6918848,3,-2,1,-2.0
6,1,1000000,10000000,1891764,7832892,2,-31,1,-31.0
6,1,1000000,10000000,3300744,7943357,2,-239,1,-239.0
6,1,1000000,10000000,1177665,7177999,2,-47,1,-47.0
6,1,1000000,10000000,6085090,9810748,2,-7,1,-7.0
6,1,1000000,10000000,4481540,5436057,2,-71,1,-71.0
6,1,1000000,10000000,4178560,8926286,2,-7,1,-7.0
6,1,1000000,10000000,6407036,8099935,2,-47,1,-47.0
6,1,1000000,10000000,1172540,7685583,2,-3,1,-3.0
6,1,1000000,10000000,2242185,7170212,2,-7,1,-7.0
6,1,1000000,10000000,3706463,7080298,2,-127,1,-127.0
6,1,1000000,10000000,6049548,9939163,2,-47,1,-47.0
6,1,1000000,10000000,3707903,4357826,2,-5,1,-5.0
6,1,1000000,10000000,3769344,6160698,3,-2,1,-2.0
6,1,1000000,10000000,4954902,8848867,2,-191,1,-191.0
6,1,1000000,10000000,1204297,6078922,2,-15,1,-15.0
6,1,1000000,10000000,2004100,2719693,2,-63,1,-63.0
6,1,1000000,10000000,1762479,4276581,2,-3,1,-3.0
6,1,1000000,10000000,6530386,7372491,2,-7,1,-7.0
6,1,1000000,10000000,4781862,7517145,2,-15,1,-15.0
6,1,1000000,10000000,1209088,8371773,2,-191,1,-191.0
6,1,1000000,10000000,1747297,4420387,2,-27,1,-27.0
6,1,1000000,10000000,1593801,7233713,2,-143,1,-143.0
6,1,1000000,10000000,6454379,8909273,3,34,1,34.0
6,1,1000000,10000000,7270822,8681353,3,18,1,18.0
6,1,1000000,10000000,2643742,4103646,2,-47,1,-47.0
6,1,1000000,10000000,2032766,2834745,2,-3,1,-3.0
6,1,1000000,10000000,2468261,8711472,2,-7,1,-7.0
6,1,1000000,10000000,1469063,1728255,2,-59,1,-59.0
6,1,1000000,10000000,4897177,5235206,2,-47,1,-47.0
6,1,1000000,10000000,4649127,8670886,2,-63,1,-63.0
6,1,1000000,10000000,8023835,8099417,2,-71,1,-71.0
6,1,1000000,10000000,5249091,6154449,2,-23,1,-23.0
6,1,1000000,10000000,6886466,7017236,2,-7,1,-7.0
6,1,1000000,10000000,4867890,7967595,2,-3,1,-3.0
6,1,1000000,10000000,4542422,9393551,2,-31,1,-31.0
6,1,1000000,10000000,1336012,9382582,2,-23,1,-23.0
6,1,1000000,10000000,3108235,9626049,2,-15,1,-15.0
6,1,1000000,10000000,3531371,8118335,2,-31,1,-31.0
6,1,1000000,10000000,6962471,7489165,2,-31,1,-31.0
6,1,1000000,10000000,7087727,8883762,2,-19,1,-19.0
6,1,1000000,10000000,1619911,5638182,2,-31,1,-31.0
6,1,1000000,10000000,4905008,6863253,2,-15,1,-15.0
6,1,1000000,10000000,8085126,9123854,2,-9,1,-9.0
6,1,1000000,10000000,3092675,5835271,2,-11,1,-11.0
