i,log2_a_plus_1,log2_q
892,1.000000,1653.739879
893,2.321928,1656.012822
894,1.000000,1656.284137
895,3.459432,1659.720907
896,4.000000,1663.636653
897,2.000000,1665.253132
898,1.000000,1665.660355
899,1.000000,1666.471064
900,6.149747,1672.612049
901,1.000000,1672.632349
902,1.584963,1674.210577
903,5.169925,1679.353598
904,2.321928,1681.363770
905,1.000000,1681.683669
906,5.832890,1687.511517
907,1.000000,1687.536695
908,2.584963,1690.117492
909,1.000000,1690.340480
910,1.584963,1691.854874
911,1.000000,1692.287880
912,2.321928,1694.532985
913,3.000000,1697.383172
914,6.087463,1703.452245
915,1.000000,1703.473574
916,1.000000,1704.462949
917,1.000000,1705.051462
918,1.584963,1706.465613
919,2.321928,1708.594972
920,1.584963,1709.751083
921,1.000000,1710.285862
922,5.781360,1716.059074
923,3.321928,1719.231927
924,9.105909,1728.335506
925,3.321928,1731.505722
926,3.807355,1735.218438
927,1.000000,1735.324480
928,1.000000,1736.272433
929,3.459432,1739.667272
930,1.000000,1739.798297
931,4.906891,1744.701007
932,1.584963,1745.724922
933,1.584963,1747.042099
934,1.000000,1747.528885
935,2.000000,1749.421708
936,1.000000,1749.765718
937,1.584963,1751.244870
938,4.807355,1756.018798
939,3.807355,1759.723289
940,1.000000,1759.829915
941,1.000000,1760.777586
942,6.321928,1767.090805
943,1.584963,1768.099848
944,2.000000,1769.905914
945,2.321928,1772.005536
946,3.321928,1775.212385
947,1.000000,1775.360738
948,1.584963,1776.897925
949,1.000000,1777.325055
950,1.000000,1778.127240
951,5.321928,1783.433702
952,1.000000,1783.469705
953,1.000000,1784.451816
954,1.000000,1785.042766
955,1.000000,1785.777340
956,1.584963,1787.156404
957,6.459432,1793.605708
958,1.000000,1793.622124
959,2.807355,1796.427146
960,2.584963,1798.789781
961,1.000000,1799.046110
962,2.584963,1801.591390
963,1.000000,1801.819519
964,1.584963,1803.332373
965,1.000000,1803.765779
966,1.000000,1804.565290
967,1.000000,1805.220224
968,2.321928,1807.432826
969,1.000000,1807.714666
970,3.169925,1810.855861
971,1.000000,1811.010763
972,2.321928,1813.303012
973,1.000000,1813.571036
974,1.000000,1814.443239
975,1.584963,1815.791648
976,1.584963,1817.050303
977,4.321928,1821.329621
978,2.807355,1823.926913
979,1.000000,1824.147551
980,1.000000,1825.041446
981,1.000000,1825.662651
982,2.584963,1828.160934
983,1.584963,1829.283267
984,1.000000,1829.828593
985,2.807355,1832.569572
986,1.000000,1832.770683
987,2.321928,1835.054569
988,1.000000,1835.324014
989,7.727920,1843.050775
990,3.807355,1846.751738
991,2.584963,1849.095685
992,1.000000,1849.355073
993,1.000000,1850.231200
994,2.321928,1852.415426
995,2.584963,1854.799484
996,1.000000,1855.052348
997,1.000000,1855.931449
998,1.000000,1856.557847
999,1.584963,1857.962636
1000,2.000000,1859.718666
1001,2.321928,1861.821681
1002,1.000000,1862.123586
1003,1.584963,1863.614762
1004,4.087463,1867.646486
1005,1.000000,1867.732102
1006,3.169925,1870.892761
1007,1.000000,1871.045693
