n,N,d_k,Q_n_at_cell,bin_count,bin_log_sum,M_n_total,log_M_n_total,bin_count_frac,bin_log_frac,cell_contribution_to_S_n
5,1000000,10,-4.0,91,1003.981109,7805,94931.412020,0.01165919,0.01057586,-4015.924437
5,1000000,11,-4.5,1,10.150348,7805,94931.412020,0.00012812,0.00010692,-45.676564
5,1000000,12,-5.0,1098,13319.591125,7805,94931.412020,0.14067905,0.14030752,-66597.955625
5,1000000,13,-5.5,1,11.536642,7805,94931.412020,0.00012812,0.00012153,-63.451531
5,1000000,14,-6.0,51,595.354954,7805,94931.412020,0.00653427,0.00627142,-3572.129724
5,1000000,15,-6.5,22,266.154854,7805,94931.412020,0.00281871,0.00280365,-1730.006553
5,1000000,16,-7.0,1182,14745.763281,7805,94931.412020,0.15144138,0.15533071,-103220.342966
5,1000000,18,-8.0,193,2358.436533,7805,94931.412020,0.02472774,0.02484358,-18867.492262
5,1000000,20,-9.0,294,3672.235186,7805,94931.412020,0.03766816,0.03868304,-33050.116675
5,1000000,21,-9.5,9,110.384553,7805,94931.412020,0.00115311,0.00116278,-1048.653257
5,1000000,22,-10.0,7,87.972947,7805,94931.412020,0.00089686,0.00092670,-879.729470
5,1000000,24,-11.0,818,10348.771833,7805,94931.412020,0.10480461,0.10901315,-113836.490162
5,1000000,25,-11.5,2,24.161019,7805,94931.412020,0.00025625,0.00025451,-277.851717
5,1000000,26,-12.0,1,12.635254,7805,94931.412020,0.00012812,0.00013310,-151.623051
5,1000000,27,-12.5,14,177.156261,7805,94931.412020,0.00179372,0.00186615,-2214.453260
5,1000000,28,-13.0,79,1011.804710,7805,94931.412020,0.01012172,0.01065827,-13153.461229
5,1000000,30,-14.0,95,1200.192020,7805,94931.412020,0.01217168,0.01264273,-16802.688286
5,1000000,32,-15.0,301,3884.880675,7805,94931.412020,0.03856502,0.04092303,-58273.210121
5,1000000,33,-15.5,1,12.347572,7805,94931.412020,0.00012812,0.00013007,-191.387369
5,1000000,35,-16.5,2,24.355346,7805,94931.412020,0.00025625,0.00025656,-401.863215
5,1000000,36,-17.0,170,2189.671687,7805,94931.412020,0.02178091,0.02306583,-37224.418687
5,1000000,39,-18.5,1,13.733867,7805,94931.412020,0.00012812,0.00014467,-254.076532
5,1000000,40,-19.0,105,1360.608590,7805,94931.412020,0.01345291,0.01433254,-25851.563206
5,1000000,42,-20.0,23,299.141174,7805,94931.412020,0.00294683,0.00315113,-5982.823485
5,1000000,44,-21.0,3,40.287910,7805,94931.412020,0.00038437,0.00042439,-846.046105
5,1000000,45,-21.5,6,78.228929,7805,94931.412020,0.00076874,0.00082406,-1681.921971
5,1000000,48,-23.0,128,1683.787445,7805,94931.412020,0.01639974,0.01773688,-38727.111235
5,1000000,50,-24.0,6,78.137384,7805,94931.412020,0.00076874,0.00082309,-1875.297205
5,1000000,54,-26.0,11,147.059810,7805,94931.412020,0.00140935,0.00154912,-3823.555067
5,1000000,56,-27.0,12,159.188480,7805,94931.412020,0.00153748,0.00167688,-4298.088947
5,1000000,60,-29.0,21,279.520852,7805,94931.412020,0.00269058,0.00294445,-8106.104712
5,1000000,63,-30.5,1,13.466804,7805,94931.412020,0.00012812,0.00014186,-410.737515
5,1000000,64,-31.0,12,161.283938,7805,94931.412020,0.00153748,0.00169895,-4999.802072
5,1000000,70,-34.0,1,13.718118,7805,94931.412020,0.00012812,0.00014451,-466.416019
5,1000000,72,-35.0,4,54.114745,7805,94931.412020,0.00051249,0.00057004,-1894.016061
5,1000000,80,-39.0,1,13.631107,7805,94931.412020,0.00012812,0.00014359,-531.613167
7,1000000,1,0.5,1,3.891820,4442,54031.902288,0.00022512,0.00007203,1.945910
7,1000000,2,0.0,33,253.127803,4442,54031.902288,0.00742909,0.00468478,0.000000
7,1000000,3,-0.5,33,377.825537,4442,54031.902288,0.00742909,0.00699264,-188.912768
7,1000000,4,-1.0,532,6078.173150,4442,54031.902288,0.11976587,0.11249230,-6078.173150
7,1000000,5,-1.5,4,38.763652,4442,54031.902288,0.00090050,0.00071742,-58.145478
7,1000000,6,-2.0,160,1728.721298,4442,54031.902288,0.03601981,0.03199446,-3457.442596
7,1000000,7,-2.5,3,32.082645,4442,54031.902288,0.00067537,0.00059377,-80.206613
7,1000000,8,-3.0,935,11277.354942,4442,54031.902288,0.21049077,0.20871660,-33832.064826
7,1000000,9,-3.5,37,445.837357,4442,54031.902288,0.00832958,0.00825137,-1560.430749
7,1000000,10,-4.0,72,824.130318,4442,54031.902288,0.01620891,0.01525266,-3296.521272
7,1000000,11,-4.5,1,10.823292,4442,54031.902288,0.00022512,0.00020031,-48.704814
